"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","gdp_pc","X2019","is_island"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND",343,23,2020-04-09,30,9746117,0.035193503217743,0.00235991420993612,6.70553935860058,27.6,21.6,27.7,26.5,12,41.8,39.5,2574.912191,5.42,FALSE
"HRV",442,1,2020-03-25,30,4067500,0.108666256914567,0.000245851259987707,0.226244343891403,53.3,55.2,72.3,32.4,46.5,49.1,68.2,14936.10055,6.57,FALSE
"HTI",43,3,2020-04-18,30,11263077,0.00381778442960125,0.000266357053227994,6.97674418604651,31.5,31.5,48.3,21.1,10.6,48.4,28.9,1272.490925,4.57,TRUE
"HUN",585,21,2020-04-02,30,9769949,0.059877487589751,0.0021494482724526,3.58974358974359,54,56.4,55.5,52.2,36.6,58.9,68.2,16731.82151,6.63,FALSE
"IDN",1528,136,2020-03-31,30,270625568,0.00564617752599045,0.000502539360952029,8.90052356020942,56.6,50.2,68.1,54.3,39.4,72.5,53.7,4135.569263,6.48,TRUE
"IND",3,0,2020-02-28,30,1366417754,2.19552182428683e-06,0,0,46.5,34.9,47.4,52.4,42.7,47.7,54.4,2099.599048,6.9,FALSE
"IRL",2615,46,2020-03-29,30,4941444,0.529197538209479,0.00930901979259504,1.75908221797323,59,63.9,78,45.1,40.2,52.8,77.4,78660.95646,9.24,TRUE
"IRN",18407,1284,2020-03-19,30,82913906,0.222001361267433,0.0154859427319707,6.97560710599229,37.7,44.7,37.7,33.7,34.6,28.7,50.3,NA,2.38,FALSE
"IRQ",316,27,2020-03-24,30,39309783,0.00803871138133731,0.000686851921823125,8.54430379746835,25.8,22.1,42.2,19.5,11.8,29.5,29.2,5955.10901,3.74,FALSE
"ISL",963,2,2020-03-28,30,361313,2.66527913471146,0.00553536684259908,0.207684319833853,46.3,35.3,37.2,44,46.4,43.2,81.2,66944.83308,9.58,TRUE
"ISR",843,1,2020-03-21,30,9053300,0.0931152176554405,0.000110456960445362,0.118623962040332,47.3,44,52.4,39.9,42.2,41.5,68.8,43592.08358,7.86,FALSE
"ITA",1128,29,2020-02-29,30,60297396,0.0187072755181667,0.000480949459243646,2.5709219858156,56.2,47.5,78.5,47.5,36.8,61.9,65.5,33228.23668,7.52,FALSE
"JAM",63,4,2020-04-09,30,2948279,0.0213683983096579,0.0013567237022005,6.34920634920635,29,20.1,24.3,24.7,10,43.1,61.2,5582.263778,6.96,TRUE
"JOR",278,5,2020-04-01,30,10101694,0.0275201367216231,0.000494966487798977,1.79856115107914,42.1,31.8,42.9,47.8,27.8,48.6,55.8,4405.488412,3.93,FALSE
"JPN",112,2,2020-02-21,30,126264931,0.000887023808693167,1.58397108695208e-05,1.78571428571429,59.8,49.3,70.1,53.6,46.6,70,71.7,40246.88013,7.99,TRUE
"KAZ",865,10,2020-04-11,30,18513930,0.0467215766722679,0.000540133834361478,1.15606936416185,40.7,58.8,28.2,26.6,28,52.8,59.5,9812.390376,2.94,FALSE
"KEN",191,7,2020-04-11,30,52573973,0.00363297633983264,0.000133145729732086,3.66492146596859,47.1,45.9,68.6,37.1,20.7,67.1,40.7,1816.546916,5.18,FALSE
"KGZ",466,5,2020-04-16,30,6456900,0.0721708559835215,0.000774365407548514,1.07296137339056,49.3,29.7,64.7,49.9,29.8,64.8,56.1,1309.392992,4.89,FALSE
"KHM",1,0,2020-02-25,30,16486542,6.06555334648103e-05,0,0,39.2,28.6,57.7,36.7,12,60,38.5,1643.121389,3.53,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNA",15,0,2020-04-23,30,52834,0.28390808948783,0,0,26.2,8.7,15,26.2,7.1,46.4,64.8,19934.97453,NA,TRUE
"KOR",204,2,2020-02-21,30,51709098,0.0039451471383237,3.86779131208206e-05,0.980392156862745,70.2,57.3,92.1,71.5,58.7,64.3,74.1,31846.21823,8,FALSE
"KWT",191,0,2020-03-24,30,4207083,0.0453996272476678,0,0,46.1,40.9,47.5,50.2,36.5,42.2,61.5,32000.44847,3.93,FALSE
"LAO",19,0,2020-04-22,30,7169455,0.00265013170457169,0,0,43.1,18.9,70.4,52,19.4,45.9,46.8,2534.89828,2.14,FALSE
"LBN",187,4,2020-03-21,30,6855713,0.0272765210562344,0.000583454995855282,2.13903743315508,43.1,27.3,62,47.9,23.8,49.3,45.5,7583.694722,4.36,FALSE
"LBR",59,6,2020-04-14,30,4937374,0.0119496720321369,0.00121522088462409,10.1694915254237,35.1,14.3,29.1,40.5,19.9,71.5,37.4,621.8929536,5.45,FALSE
"LBY",59,1,2020-04-22,30,6777452,0.00870533645977869,0.000147548075589469,1.69491525423729,25.7,23.2,36,18.9,9.1,31,39,7685.949267,2.02,FALSE
"LCA",15,0,2020-04-12,30,182790,0.0820613819136714,0,0,35.3,22.8,30.3,42.4,6.3,54.7,62.1,11611.41545,NA,TRUE
"LIE",75,0,2020-04-02,30,38019,1.97269786159552,0,0,43.5,43.1,22.9,34.6,31.1,56.9,87.9,NA,NA,FALSE
"LKA",1,0,2020-02-25,30,21803000,4.58652479016649e-05,0,0,33.9,24.2,43,26.4,16.9,41.7,56.7,3853.083693,6.27,TRUE
"LSO",4,0,2020-06-11,30,2125268,0.00188211557318889,0,0,30.2,24.4,18,33.2,20.6,45.9,44.5,1118.131284,6.54,FALSE
"LTU",394,7,2020-03-28,30,2786844,0.141378562990968,0.00251180188055018,1.77664974619289,55,43.5,81.5,33.9,34.4,72.1,67.8,19601.89083,7.5,FALSE
"LUX",1950,21,2020-03-29,30,619896,3.1456889542762,0.0338766502768206,1.07692307692308,43.8,31,41.7,27.3,37.9,52.8,84.7,114704.5942,8.81,FALSE
"LVA",398,0,2020-03-31,30,1912789,0.208073133001079,0,0,62.9,56,97.3,54.7,47.3,51.1,67.2,17828.89466,7.49,FALSE
"MAR",617,36,2020-03-31,30,36471769,0.0169171942276778,0.000987064817174072,5.83468395461913,43.7,34.6,56.8,51.5,29.5,32.7,55.9,3204.095003,5.1,FALSE
"MCO",46,1,2020-03-29,30,38964,1.18057694281901,0.0256647161482394,2.17391304347826,32.7,11.1,23.3,26,31,35.3,83.1,NA,NA,FALSE
"MDA",965,19,2020-04-06,30,2657637,0.363104517283587,0.00714920811231933,1.96891191709845,42.9,46.5,42.9,31.1,36.4,56.7,47.1,4503.516985,5.75,FALSE
"MDG",120,0,2020-04-18,30,26969307,0.00444950254005414,0,0,40.1,30.1,41.9,57.8,19.2,55.4,32.4,523.3590645,5.64,TRUE
"MDV",19,0,2020-04-06,30,530953,0.0357847116411434,0,0,33.8,21.8,25.5,40.2,18.1,45.5,58.3,10626.5134,NA,TRUE
"MEX",848,16,2020-03-28,30,127575529,0.00664704278827643,0.000125415901665593,1.88679245283019,57.6,45.5,71.2,50.8,46.9,73.9,57,9946.033829,6.09,FALSE
"MHL",4,0,2020-11-26,30,58791,0.068037624806518,0,0,18.2,7,4.4,18.1,7.2,30.7,52.3,NA,NA,TRUE
"MKD",201,3,2020-03-26,30,2083459,0.0964741806774215,0.00143991314443913,1.49253731343284,39.1,37,41.7,33.1,25.4,44.8,57.7,6022.216179,5.97,FALSE
"MLI",309,21,2020-04-23,30,19658031,0.015718766543811,0.00106826568744347,6.79611650485437,29,23.4,25.5,29.5,13,53.2,32.1,879.0080104,4.92,FALSE
"MLT",227,0,2020-04-05,30,502653,0.451603790288728,0,0,37.3,35,32.9,22.4,23.6,49.1,72.3,29820.60325,7.95,TRUE
"MMR",146,5,2020-04-25,30,54045420,0.00270143149965344,9.25147773853918e-05,3.42465753424658,43.4,30.3,59.2,50.4,19.5,59.1,38.2,1407.813143,3.55,FALSE
"MNE",288,4,2020-04-15,30,622137,0.462920546439128,0.00642945203387678,1.38888888888889,43.7,36.5,55.4,32.1,29.5,53.5,58.8,8908.934792,5.65,FALSE
"MNG",16,0,2020-04-08,30,3225167,0.0049609834157425,0,0,49.5,37.6,77.3,37.8,30.8,52.6,60.8,4339.843279,6.5,FALSE
"MOZ",39,0,2020-04-20,30,30366036,0.00128432963723023,0,0,28.1,26.5,29.3,18.2,17,43.8,38.4,503.5707727,3.65,FALSE
"MRT",7,1,2020-04-12,30,4525696,0.00154672342110473,0.000220960488729247,14.2857142857143,27.5,9.9,39.5,24.2,17,36.3,39.5,1679.444873,3.92,FALSE
"MUS",324,9,2020-04-16,30,1265711,0.25598260582392,0.00711062793955334,2.77777777777778,34.9,27.3,42.3,34.9,15.1,29.1,66.2,11099.24028,8.22,TRUE
"MWI",37,3,2020-05-01,30,18628747,0.00198617759959916,0.000161041426994526,8.10810810810811,28,25.5,23.3,20.7,15.3,50.7,37.6,411.5523404,5.5,FALSE
"MYS",22,0,2020-02-23,30,31949777,0.000688580705899763,0,0,62.2,51.4,73.2,61.3,57.1,58.5,72,11414.20698,7.16,FALSE
"NAM",16,0,2020-04-12,30,2494530,0.00641403390618674,0,0,35.6,32,46,30.9,10.1,44.2,54.7,4957.458222,6.43,FALSE
"NER",639,19,2020-04-18,30,23310715,0.0274122865815141,0.000815075813847838,2.97339593114241,32.2,32.5,44.4,20.1,21.9,45.5,28.5,553.8950504,3.29,FALSE
"NGA",89,1,2020-03-28,30,200963599,0.000442866272513362,4.976025533858e-06,1.12359550561798,37.8,26.3,44.6,43.8,19.9,56.7,33.7,2229.858696,4.12,FALSE
"NIC",9,1,2020-04-17,30,6545502,0.00137499003132227,0.000152776670146919,11.1111111111111,43.1,41.7,39.9,39.2,45.9,51.8,41,1912.903745,3.55,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NLD",8647,547,2020-03-27,30,17332850,0.498879295672668,0.0315585723063432,6.32589337342431,75.6,73.7,86,79.1,70.2,61.1,81.7,52331.31673,9.01,FALSE
"NOR",3369,14,2020-03-26,30,5347896,0.629967374085061,0.00261785195523623,0.415553576729,64.6,68.2,58.6,58.2,58.5,64.4,87.1,75419.63487,9.87,FALSE
"NPL",1,0,2020-02-23,30,28608710,3.49543897645158e-05,0,0,35.1,43.7,22,41.9,28.1,33.5,44.7,1071.050761,5.28,FALSE
