"country_code","date","deaths"
"AFG","1.26.20",0
"ALB","1.26.20",0
"DZA","1.26.20",0
"AND","1.26.20",0
"AGO","1.26.20",0
"ATG","1.26.20",0
"ARG","1.26.20",0
"ARM","1.26.20",0
"AUS","1.26.20",0
"AUT","1.26.20",0
"AZE","1.26.20",0
"BHS","1.26.20",0
"BHR","1.26.20",0
"BGD","1.26.20",0
"BRB","1.26.20",0
"BLR","1.26.20",0
"BEL","1.26.20",0
"BLZ","1.26.20",0
"BEN","1.26.20",0
"BTN","1.26.20",0
"BOL","1.26.20",0
"BIH","1.26.20",0
"BWA","1.26.20",0
"BRA","1.26.20",0
"BRN","1.26.20",0
"BGR","1.26.20",0
"BFA","1.26.20",0
"MMR","1.26.20",0
"BDI","1.26.20",0
"CPV","1.26.20",0
"KHM","1.26.20",0
"CMR","1.26.20",0
"CAN","1.26.20",0
"CAF","1.26.20",0
"TCD","1.26.20",0
"CHL","1.26.20",0
"CHN","1.26.20",56
"COL","1.26.20",0
"COM","1.26.20",0
"COG","1.26.20",0
"COD","1.26.20",0
"CRI","1.26.20",0
"CIV","1.26.20",0
"HRV","1.26.20",0
"CUB","1.26.20",0
"CYP","1.26.20",0
"CZE","1.26.20",0
"DNK","1.26.20",0
"DJI","1.26.20",0
"DMA","1.26.20",0
"DOM","1.26.20",0
"ECU","1.26.20",0
"EGY","1.26.20",0
"SLV","1.26.20",0
"GNQ","1.26.20",0
"ERI","1.26.20",0
"EST","1.26.20",0
"SWZ","1.26.20",0
"ETH","1.26.20",0
"FJI","1.26.20",0
"FIN","1.26.20",0
"FRA","1.26.20",0
"GAB","1.26.20",0
"GMB","1.26.20",0
"GEO","1.26.20",0
"DEU","1.26.20",0
"GHA","1.26.20",0
"GRC","1.26.20",0
"GRD","1.26.20",0
"GTM","1.26.20",0
"GIN","1.26.20",0
"GNB","1.26.20",0
"GUY","1.26.20",0
"HTI","1.26.20",0
"VAT","1.26.20",0
"HND","1.26.20",0
"HUN","1.26.20",0
"ISL","1.26.20",0
"IND","1.26.20",0
"IDN","1.26.20",0
"IRN","1.26.20",0
"IRQ","1.26.20",0
"IRL","1.26.20",0
"ISR","1.26.20",0
"ITA","1.26.20",0
"JAM","1.26.20",0
"JPN","1.26.20",0
"JOR","1.26.20",0
"KAZ","1.26.20",0
"KEN","1.26.20",0
"KOR","1.26.20",0
"KWT","1.26.20",0
"KGZ","1.26.20",0
"LAO","1.26.20",0
"LVA","1.26.20",0
"LBN","1.26.20",0
"LSO","1.26.20",0
"LBR","1.26.20",0
"LBY","1.26.20",0
"LIE","1.26.20",0
"LTU","1.26.20",0
"LUX","1.26.20",0
"MDG","1.26.20",0
"MWI","1.26.20",0
"MYS","1.26.20",0
"MDV","1.26.20",0
"MLI","1.26.20",0
"MLT","1.26.20",0
"MHL","1.26.20",0
"MRT","1.26.20",0
"MUS","1.26.20",0
"MEX","1.26.20",0
"FSM","1.26.20",0
"MDA","1.26.20",0
"MCO","1.26.20",0
"MNG","1.26.20",0
"MNE","1.26.20",0
"MAR","1.26.20",0
"MOZ","1.26.20",0
"NAM","1.26.20",0
"NPL","1.26.20",0
