"","country_code","date","cases","deaths","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","pop_2019","is_island","cases_per_capita","deaths_per_capita","case_fatality_ratio"
"125","NER",2020-12-31,3323,104,32.2,32.5,44.4,20.1,21.9,45.5,28.5,23310715000,FALSE,1.42552469969282e-07,4.4614676126408e-09,31.9519230769231
"126","NGA",2020-12-31,87607,1289,37.8,26.3,44.6,43.8,19.9,56.7,33.7,200963599000,FALSE,4.35934668944698e-07,6.41409691314296e-09,67.9650892164469
"127","NIC",2020-12-31,6046,165,43.1,41.7,39.9,39.2,45.9,51.8,41,6545502000,FALSE,9.23687747708274e-07,2.52081505742417e-08,36.6424242424242
"128","NLD",2020-12-31,808382,11525,75.6,73.7,86,79.1,70.2,61.1,81.7,17332850000,FALSE,4.66387235797921e-05,6.64922387258875e-07,70.1416052060737
"129","NOR",2020-12-31,49567,436,64.6,68.2,58.6,58.2,58.5,64.4,87.1,5347896000,FALSE,9.26850484751386e-06,8.15273894630711e-08,113.685779816514
"130","NPL",2020-12-31,260593,1856,35.1,43.7,22,41.9,28.1,33.5,44.7,28608710000,FALSE,9.10886929190446e-06,6.48753474029413e-08,140.405711206897
"131","NZL",2020-12-31,2162,25,54,55,36.7,58.1,45.2,59.4,77.2,4.917e+09,TRUE,4.39699003457393e-07,5.08440105755542e-09,86.48
"132","OMN",2020-12-31,128867,1499,43.1,35.3,41.1,41.6,25.4,56,65.7,4974986000,FALSE,2.59029874656934e-05,3.01307380563483e-07,85.9686457638426
"133","PAK",2020-12-31,482178,10176,35.5,24.1,41.7,38.7,19.9,49.7,38.7,216565318000,FALSE,2.22647838745814e-06,4.69881331598996e-08,47.3838443396226
"134","PAN",2020-12-31,246790,4022,43.7,40.5,44.6,46.4,35.1,35.3,63.8,4246439000,FALSE,5.81169304445442e-05,9.47146538546768e-07,61.3600198906017
"135","PER",2020-12-31,1015137,37680,49.2,43.2,38.3,51.7,45,63,57.7,32510453000,FALSE,3.12249417133622e-05,1.15901184151448e-06,26.9410031847134
"136","PHL",2020-12-31,474064,9244,47.6,38.5,63.6,43.8,38.2,49.8,50.3,108116615000,TRUE,4.38474696974188e-06,8.55002720904645e-08,51.2834270878408
"137","PNG",2020-12-31,780,9,27.8,10,31.8,34.8,11.6,41.4,38.7,8776109000,TRUE,8.88776563736845e-08,1.02551141969636e-09,86.6666666666667
"138","POL",2020-12-31,1294878,28554,55.4,50.9,61.7,47.5,48.9,58.9,67.9,37970874000,FALSE,3.41018750318994e-05,7.51997438879073e-07,45.3483925194369
"139","PRT",2020-12-31,413678,6906,60.3,52.8,50.5,67.7,55,63,77.3,10269417000,FALSE,4.0282520419611e-05,6.72482186671356e-07,59.9012452939473
"140","PRY",2020-12-31,107932,2262,35.7,39.5,34.6,26.8,28.2,35.3,55.9,7044636000,FALSE,1.53211606674923e-05,3.21095369583326e-07,47.7152961980548
"141","QAT",2020-12-31,143834,245,41.2,33.1,32.7,48,38.8,32.7,68,2832067000,FALSE,5.07876402641604e-05,8.65092527825083e-08,587.077551020408
"142","ROU",2020-12-31,632263,15767,45.8,48.9,42.8,35.3,36.7,52.4,65.7,19356544000,FALSE,3.26640437466523e-05,8.14556565469538e-07,40.1003995687195
"143","RUS",2020-12-31,3127347,56271,44.3,42.9,34.1,50.1,37.6,52.6,51.4,144373535000,FALSE,2.16614977253276e-05,3.89759799121079e-07,55.5765314282668
"144","RWA",2020-12-31,8383,92,34.2,33.8,36,31.9,24.1,38,43.6,12626950000,FALSE,6.63897457422418e-07,7.28600334997763e-09,91.1195652173913
"145","SAU",2020-12-31,362741,6223,49.3,34.3,74.4,32.6,44.8,50.6,59.7,34268528000,FALSE,1.05852518672527e-05,1.81595194284388e-07,58.2903744174835
"146","SDN",2020-12-31,23316,1468,26.2,31.8,7,37.3,14.3,37.6,33,42813238000,FALSE,5.44597911515125e-07,3.42884600319182e-08,15.8828337874659
"147","SEN",2020-12-31,19140,410,37.9,25.4,35.1,45.4,18.5,57,48.2,16296364000,FALSE,1.17449512050664e-06,2.51589863849384e-08,46.6829268292683
"148","SGP",2020-12-31,58599,29,58.7,56.2,64.5,64.6,41.4,47.3,80.9,5703569000,TRUE,1.0274093291411e-05,5.0845356653001e-09,2020.65517241379
"149","SLB",2020-12-31,17,0,20.7,8.4,8.7,18.7,12.4,40.1,44,669823000,TRUE,2.5379839151537e-08,0,Inf
"150","SLE",2020-12-31,2611,76,38.2,25,45.8,44.8,25.3,52.8,32.8,7813215000,FALSE,3.3417741608288e-07,9.7271097749134e-09,34.3552631578947
"151","SLV",2020-12-31,45960,1327,44.2,22.1,73.9,42.1,25.2,50.5,48,6453553000,FALSE,7.12165841049109e-06,2.05623166029627e-07,34.6345139412208
"152","SMR",2020-12-31,2428,59,31.1,22.3,33.9,20.8,16.2,25,80.5,33860000,FALSE,7.17070289427053e-05,1.74246898995865e-06,41.1525423728814
"153","SOM",2020-12-31,4714,130,16.6,15.8,21.5,17.4,0.3,28.5,15.9,15442905000,FALSE,3.05253448104486e-07,8.41810527229171e-09,36.2615384615385
"154","SRB",2020-12-31,337923,3211,52.3,48.8,46.2,55.1,56.6,49.7,59.2,6944975000,FALSE,4.86571945903333e-05,4.62348676561111e-07,105.239177826222
"155","SSD",2020-12-31,3558,63,21.7,22.6,15.9,24.3,13.6,32.6,22.1,11062113000,FALSE,3.21638370535539e-07,5.69511448671696e-09,56.4761904761905
"156","STP",2020-12-31,1014,17,NA,NA,NA,NA,NA,NA,NA,215056000,TRUE,4.71505096346998e-06,7.904917788855e-08,59.6470588235294
"157","SUR",2020-12-31,6210,122,36.5,23.3,36.7,47.3,16.5,44.8,52.7,581363000,FALSE,1.06817943350368e-05,2.09851676147261e-07,50.9016393442623
"158","SVK",2020-12-31,179543,2138,47.9,53.5,46,34.1,37.9,52.8,71.5,5454073000,FALSE,3.29190680066072e-05,3.92000620453742e-07,83.9770813844715
"159","SVN",2020-12-31,122152,2697,67.2,67,73.7,63.3,54.9,72.1,73.7,2087946000,FALSE,5.85034287285208e-05,1.29170007270303e-06,45.2918057100482
"160","SWE",2020-12-31,437379,8727,72.1,81.1,86,62.8,49.3,71.3,84.5,10285453000,FALSE,4.25240385620351e-05,8.48479887079354e-07,50.1179099346855
"161","SWZ",2020-12-31,9358,205,31.1,35.7,25.5,29.3,6.5,46.6,48.9,1148130000,FALSE,8.15064496180746e-06,1.78551209357825e-07,45.6487804878049
