"country","overall","country.1","prev_emergence_pathogens","country.2","early_detection","country.3","rapid_response","country.4","robust_health_sector","country.5","commitments","country.6","risk_environment","country_code"
"Nauru",20.8,"Cook Islands",10.9,"Solomon Islands",8.7,"Tuvalu",19.6,"Kiribati",7.3,"Niue",29.9,"Guinea",31.3,"NRU"
"Nepal",35.1,"Trinidad and Tobago",28.1,"Rwanda",36,"North Macedonia",33.1,"Laos",19.4,"Barbados",46,"Marshall Islands",52.3,"NPL"
"Netherlands",75.6,"Thailand",75.7,"Latvia",97.3,"Switzerland",79.3,"Netherlands",70.2,"Australia",77,"Switzerland",86.2,"NLD"
"New Zealand",54,"Czech Republic",51.1,"Kenya",68.6,"Bosnia and Herzegovina",51.8,"India",42.7,"Cambodia",60,"Slovakia",71.5,"NZL"
"Nicaragua",43.1,"Colombia",37.2,"Azerbaijan",45,"St Lucia",42.4,"Paraguay",28.2,"Romania",52.4,"Fiji",59.1,"NIC"
"Niger",32.2,"Vanuatu",24.5,"Belarus",28.9,"St Vincent and The Grenadines",29.2,"Bangladesh",14.7,"Guatemala",42.2,"Moldova",47.1,"NER"
"Nigeria",37.8,"Namibia",32,"Egypt",41.5,"Costa Rica",36.6,"Ghana",23.4,"Bolivia",48.5,"Morocco",55.9,"NGA"
"Niue",20.5,"Kiribati",10.7,"Venezuela",8.7,"Yemen",19,"São Tomé and Príncipe",7.2,"Algeria",29.1,"Iraq",29.2,"NIU"
"North Korea",17.5,"São Tomé and Príncipe",8.2,"Niue",4.4,"Somalia",17.4,"Equatorial Guinea",5,"Belarus",25.8,"South Sudan",22.1,"PRK"
"North Macedonia",39.1,"Rwanda",33.8,"AVERAGE",41.9,"Mongolia",37.8,"Uruguay",24.1,"Lebanon",49.3,"Sri Lanka",56.7,"MKD"
"Norway",64.6,"Brazil",59.2,"Italy",78.5,"Malaysia",61.3,"Serbia",56.6,"Kenya",67.1,"San Marino",80.5,"NOR"
"Oman",43.1,"North Macedonia",37,"Cyprus",44.9,"Austria",42.3,"Nepal",28.1,"Nicaragua",51.8,"Tonga",59,"OMN"
"Pakistan",35.5,"Madagascar",30.1,"New Zealand",36.7,"Cyprus",33.9,"Liberia",19.9,"Botswana",46.3,"Vietnam",53.4,"PAK"
"Palau",21.9,"Dominica",11.2,"Yemen",9,"Niger",20.1,"Fiji",7.5,"Marshall Islands",30.7,"Sierra Leone",32.8,"PLW"
"Panama",43.7,"Paraguay",39.5,"Namibia",46,"Colombia",43.5,"Kyrgyz Republic",29.8,"Sierra Leone",52.8,"Argentina",60,"PAN"
"Papua New Guinea",27.8,"Honduras",21.6,"Guyana",20.3,"Vanuatu",24.8,"Guatemala",11.4,"Sudan",37.6,"Kenya",40.7,"PNG"
"Paraguay",35.7,"Turkmenistan",31,"Iran",37.7,"Chad",34.5,"Kenya",20.7,"eSwatini (Swaziland)",46.6,"India",54.4,"PRY"
"Peru",49.2,"Mexico",45.5,"Norway",58.6,"Lebanon",47.9,"Slovakia",37.9,"Congo (Brazzaville)",56.8,"Brunei",66.7,"PER"
"Philippines",47.6,"Costa Rica",44.2,"Morocco",56.8,"Belgium",47.3,"Czech Republic",37.4,"Georgia",56,"Oman",65.7,"PHL"
"Poland",55.4,"Spain",52.9,"Ecuador",71.2,"India",52.4,"New Zealand",45.2,"Netherlands",61.1,"Malta",72.3,"POL"
"Portugal",60.3,"Turkey",56.9,"Mongolia",77.3,"Norway",58.2,"Sweden",49.3,"Kyrgyz Republic",64.8,"United States",78.2,"PRT"
"Qatar",41.2,"eSwatini (Swaziland)",35.7,"Sri Lanka",43,"Liberia",40.5,"Armenia",25.7,"El Salvador",50.5,"Bahrain",57.8,"QAT"
"Romania",45.8,"Peru",43.2,"Czech Republic",50.7,"Panama",46.4,"Ecuador",35.2,"St Lucia",54.7,"Panama",63.8,"ROU"
"Russia",44.3,"Uganda",42.7,"Guatemala",50,"Egypt",45,"Lithuania",34.4,"Montenegro",53.5,"St Lucia",62.1,"RUS"
"Rwanda",34.2,"Mauritius",27.3,"Uruguay",33.5,"Congo (Democratic Republic)",31.3,"Côte d'Ivoire",17.1,"Burkina Faso",44.8,"Bosnia and Herzegovina",50.8,"RWA"
"Samoa",26.4,"Belarus",19.4,"Central African Republic",17.7,"Congo (Brazzaville)",23.6,"Togo",10,"Panama",35.3,"Cambodia",38.5,"WSM"
"San Marino",31.1,"Venezuela",23.5,"Congo (Democratic Republic)",25.1,"Comoros",27.1,"Venezuela",12.9,"China",40.3,"Zambia",44.2,"SMR"
