country,overall,country,prev_emergence_pathogens,country,early_detection,country,rapid_response,country,robust_health_sector,country,commitments,country,risk_environment
Panama,43.7,Paraguay,39.5,Namibia,46,Colombia,43.5,Kyrgyz Republic,29.8,Sierra Leone,52.8,Argentina,60
Liechtenstein,43.5,Philippines,38.5,Slovakia,46,Bahrain,43.2,Montenegro,29.5,Slovakia,52.8,Saudi Arabia,59.7
Myanmar,43.4,Ukraine,38.1,Bahrain,45.8,Trinidad and Tobago,43.2,Morocco,29.5,Mongolia,52.6,Kazakhstan,59.5
Laos,43.1,Bulgaria,37.6,Sierra Leone,45.8,Vietnam,43,Ethiopia,29,Russia,52.6,Dominican Republic,59.3
Lebanon,43.1,Mongolia,37.6,Turkey,45.6,Tajikistan,42.9,Vietnam,28.3,Bangladesh,52.5,Serbia,59.2
Nicaragua,43.1,Colombia,37.2,Azerbaijan,45,St Lucia,42.4,Paraguay,28.2,Romania,52.4,Fiji,59.1
Oman,43.1,North Macedonia,37,Cyprus,44.9,Austria,42.3,Nepal,28.1,Nicaragua,51.8,Tonga,59
Cyprus,43,Ethiopia,36.8,Afghanistan,44.8,El Salvador,42.1,Kazakhstan,28,Comoros,51.6,Montenegro,58.8
Moldova,42.9,Bosnia and Herzegovina,36.7,Nigeria,44.6,Bhutan,42,Bhutan,27.9,Chile,51.5,Tuvalu,58.7
Bosnia and Herzegovina,42.8,Egypt,36.5,Panama,44.6,Nepal,41.9,Jordan,27.8,Latvia,51.1,Maldives,58.3
Jordan,42.1,Montenegro,36.5,Côte d'Ivoire,44.5,Oman,41.6,Bahrain,27.7,Malawi,50.7,Greece,58.2
Uruguay,41.3,Bahrain,36,Niger,44.4,Uruguay,41.3,AVERAGE,26.4,Saudi Arabia,50.6,Niue,57.9
Qatar,41.2,eSwatini (Swaziland),35.7,Sri Lanka,43,Liberia,40.5,Armenia,25.7,El Salvador,50.5,Bahrain,57.8
Kazakhstan,40.7,Bhutan,35.5,Jordan,42.9,Maldives,40.2,North Macedonia,25.4,Armenia,50.1,Cuba,57.8
Ethiopia,40.6,Iceland,35.3,Moldova,42.9,Israel,39.9,Oman,25.4,Cuba,49.8,North Macedonia,57.7
Bhutan,40.3,Oman,35.3,Bhutan,42.8,Ecuador,39.5,Sierra Leone,25.3,Philippines,49.8,Peru,57.7
AVERAGE,40.2,Malta,35,Romania,42.8,Nicaragua,39.2,El Salvador,25.2,Pakistan,49.7,Egypt,57.5
Madagascar,40.1,India,34.9,Mauritius,42.3,Tunisia,39.1,Costa Rica,24.8,Serbia,49.7,Vanuatu,57.4
Egypt,39.9,AVERAGE,34.8,Iraq,42.2,Pakistan,38.7,Syria,24.4,Belize,49.3,Ecuador,57.1
Bahrain,39.4,Morocco,34.6,Tanzania,42,AVERAGE,38.4,Brunei,24.2,Dominica,49.3,Mexico,57
Cambodia,39.2,Saudi Arabia,34.3,Madagascar,41.9,Burkina Faso,38,Rwanda,24.1,Guyana,49.3,Bhutan,56.9
North Macedonia,39.1,Rwanda,33.8,AVERAGE,41.9,Mongolia,37.8,Uruguay,24.1,Lebanon,49.3,Sri Lanka,56.7
Dominican Republic,38.3,Tanzania,33.5,Bosnia and Herzegovina,41.7,Sudan,37.3,Tunisia,24,Croatia,49.1,Turkey,56.5
Sierra Leone,38.2,Barbados,33.3,Colombia,41.7,Georgia,37.1,Lebanon,23.8,Cyprus,49.1,Thailand,56.4
Zimbabwe,38.2,Qatar,33.1,Luxembourg,41.7,Kenya,37.1,Trinidad and Tobago,23.7,Greece,49.1,Brazil,56.2
Ukraine,38,Niger,32.5,North Macedonia,41.7,Tanzania,36.8,Malta,23.6,Malta,49.1,Palau,56.2
Senegal,37.9,Ghana,32.2,Pakistan,41.7,Cambodia,36.7,Gambia,23.5,Jordan,48.6,Kyrgyz Republic,56.1
Nigeria,37.8,Namibia,32,Egypt,41.5,Costa Rica,36.6,Ghana,23.4,Bolivia,48.5,Morocco,55.9
Iran,37.7,Jordan,31.8,Oman,41.1,Guyana,36.2,Ukraine,23,AVERAGE,48.5,Paraguay,55.9
Malta,37.3,Sudan,31.8,Ghana,40.5,Romania,35.3,United Arab Emirates,22.9,Haiti,48.4,Jordan,55.8
Trinidad and Tobago,36.6,Tunisia,31.7,Nicaragua,39.9,Mauritius,34.9,Cyprus,21.9,Guinea,47.8,Albania,55.7
Suriname,36.5,Haiti,31.5,Mauritania,39.5,Papua New Guinea,34.8,Niger,21.9,India,47.7,Tunisia,55.7
Tanzania,36.4,Zimbabwe,31.4,Turkmenistan,38.6,Ukraine,34.8,Cameroon,21.4,Singapore,47.3,AVERAGE,55
Bolivia,35.8,Luxembourg,31,Peru,38.3,Liechtenstein,34.6,Afghanistan,21,Seychelles,47.1,Namibia,54.7
Paraguay,35.7,Turkmenistan,31,Iran,37.7,Chad,34.5,Kenya,20.7,eSwatini (Swaziland),46.6,India,54.4
Namibia,35.6,Azerbaijan,30.8,Iceland,37.2,Gambia,34.2,Lesotho,20.6,Egypt,46.4,Azerbaijan,54.2
Côte d'Ivoire,35.5,Dominican Republic,30.5,Dominican Republic,37.1,Benin,34.1,Tajikistan,20.5,Grenada,46.4,Dominica,54
Ghana,35.5,Myanmar,30.3,Gambia,36.9,Slovakia,34.1,Zambia,20.3,St Kitts and Nevis,46.4,Indonesia,53.7
Pakistan,35.5,Madagascar,30.1,New Zealand,36.7,Cyprus,33.9,Liberia,19.9,Botswana,46.3,Vietnam,53.4
Belarus,35.3,Belize,30,Suriname,36.7,Lithuania,33.9,Nigeria,19.9,South Africa,46.3,Micronesia,53.1
St Lucia,35.3,Kyrgyz Republic,29.7,Chad,36.5,Iran,33.7,Pakistan,19.9,Togo,46.3,Belarus,53
Cuba,35.2,Cambodia,28.6,Ukraine,36.5,Brunei,33.4,Seychelles,19.9,Chad,46.2,Belize,53
Liberia,35.1,Cameroon,28.2,Libya,36,Lesotho,33.2,Myanmar,19.5,Bahamas,46,Suriname,52.7
Nepal,35.1,Trinidad and Tobago,28.1,Rwanda,36,North Macedonia,33.1,Laos,19.4,Barbados,46,Marshall Islands,52.3
Bangladesh,35,Andorra,27.9,Cameroon,35.6,Cabo Verde,32.7,Madagascar,19.2,Congo (Democratic Republic),45.9,Algeria,51.4
Mauritius,34.9,Cabo Verde,27.9,Senegal,35.1,Saudi Arabia,32.6,St Vincent and The Grenadines,19,Laos,45.9,Georgia,51.4
Cameroon,34.4,Guyana,27.9,Paraguay,34.6,Croatia,32.4,Micronesia,18.8,Lesotho,45.9,Russia,51.4
Uzbekistan,34.3,Bangladesh,27.3,Russia,34.1,Montenegro,32.1,Senegal,18.5,Zimbabwe,45.9,Colombia,51
Azerbaijan,34.2,Côte d'Ivoire,27.3,San Marino,33.9,Rwanda,31.9,Maldives,18.1,Maldives,45.5,Ghana,51
Gambia,34.2,Lebanon,27.3,Ethiopia,33.7,Ghana,31.5,Azerbaijan,17.9,Niger,45.5,Bolivia,50.9
Rwanda,34.2,Mauritius,27.3,Uruguay,33.5,Congo (Democratic Republic),31.3,Côte d'Ivoire,17.1,Burkina Faso,44.8,Bosnia and Herzegovina,50.8
Sri Lanka,33.9,Guinea,27,Seychelles,33.4,Moldova,31.1,Mauritania,17,North Macedonia,44.8,Nauru,50.6
Maldives,33.8,Tajikistan,26.7,Burkina Faso,33.3,Bahamas,30.9,Mozambique,17,Suriname,44.8,Cook Islands,50.5
Tunisia,33.7,Mozambique,26.5,Bolivia,33.1,Namibia,30.9,Sri Lanka,16.9,Central African Republic,44.2,Guyana,50.5
St Vincent and The Grenadines,33,Nigeria,26.3,Malta,32.9,Andorra,30.5,Suriname,16.5,Gambia,44.2,Armenia,50.4
Micronesia,32.8,Algeria,25.7,Qatar,32.7,Togo,30.4,San Marino,16.2,Namibia,44.2,Iran,50.3
Guatemala,32.7,Malawi,25.5,Papua New Guinea,31.8,Timor-Leste,30.2,Cabo Verde,16.1,Mozambique,43.8,Philippines,50.3
Guinea,32.7,Senegal,25.4,United Arab Emirates,31.6,Zimbabwe,30.1,Dominican Republic,16.1,Dominican Republic,43.5,Guatemala,49.1
Monaco,32.7,Burundi,25.1,Brunei,30.5,Côte d'Ivoire,29.7,Uzbekistan,16,Ecuador,43.5,eSwatini (Swaziland),48.9
Brunei,32.6,Sierra Leone,25,Belize,30.4,Cameroon,29.5,Egypt,15.7,Iceland,43.2,Senegal,48.2
Togo,32.5,Brunei,24.8,St Lucia,30.3,Mali,29.5,Malawi,15.3,Costa Rica,43.1,El Salvador,48
Afghanistan,32.3,Bahamas,24.7,Mozambique,29.3,eSwatini (Swaziland),29.3,Mauritius,15.1,Jamaica,43.1,Uzbekistan,47.8
Tajikistan,32.3,Fiji,24.6,Liberia,29.1,Bolivia,29.2,Bolivia,14.9,Tajikistan,42.6,Gambia,47.3
Niger,32.2,Vanuatu,24.5,Belarus,28.9,St Vincent and The Grenadines,29.2,Bangladesh,14.7,Guatemala,42.2,Moldova,47.1
Barbados,31.9,Zambia,24.5,Botswana,28.2,Samoa,28.9,Zimbabwe,14.7,Kuwait,42.2,Laos,46.8
Seychelles,31.9,Lesotho,24.4,Kazakhstan,28.2,Zambia,28.6,Turkmenistan,14.4,Venezuela,42.2,Lebanon,45.5
Belize,31.8,Sri Lanka,24.2,Honduras,27.7,Burundi,28.4,Cook Islands,14.3,Brazil,41.9,Turkmenistan,45.1
Turkmenistan,31.8,Pakistan,24.1,Tunisia,26.3,Grenada,28.4,Sudan,14.3,Honduras,41.8,Kiribati,45
